Identifier,Titel,Kurzform,URL,Precision,Beispiele
db:datastream,Thomson Reuters DataStream,DataStream,http://financial.thomsonreuters.com/en/products/tools-applications/trading-investment-tools/datastream-macroeconomic-analysis.html?gclid=CjwKEAjwiYG9BRCkgK-G45S323oSJABnykKAUL68DtC_YFAtfCNzstK8WBFatJAOM_9GT9xOifQjchoCfJTw_wcB&gclsrc=aw.ds.ds,hoch,http://dx.doi.org/10.1016/j.iref.2014.09.008 ; http://dx.doi.org/10.1016/j.econmod.2011.07.006 ; http://dx.doi.org/10.1093/rfs/hhu092 : https://mpra.ub.uni-muenchen.de/id/eprint/4296
db:adb,Asian Development Bank Databases,ADB,http://www.adb.org/data/statistics,,http://dx.doi.org/10.1355/ae28-2h
db:amex,Amex,Amex,http://www.nasdaq.com/screening/companies-by-industry.aspx?exchange=AMEX,,http://dx.doi.org/10.1093/rof/rfu052
db:taq,NYSE Trade and Quote,TAQ,http://www.nyxdata.com/Data-Products/Daily-TAQ,mittel,http://dx.doi.org/10.1093/rfs/hhu094 ; http://dx.doi.org/10.1093/rof/rft055
db:sp500,Standard and Poor's 500,S&P500,http://us.spindices.com/indices/equity/sp-500,hoch,https://mpra.ub.uni-muenchen.de/id/eprint/11292
db:13f,Thomson Reuters Institutional Holdings (13F) Database,13F,http://financial.thomsonreuters.com/en/products/data-analytics/company-data/company-analysis.html,gering,http://dx.doi.org/10.1093/rfs/hhu145
db:sdcplatinum,Thomson Reuters SDC Platinum,SDC Platinum,http://financial.thomsonreuters.com/en/products/data-analytics/market-data/sdc-platinum-financial-securities.html,,http://dx.doi.org/10.1093/rfs/hhu145
db:iss,Insitutional Shareholder Services Inc. (ISS) (Formerly RiskMetrics),RiskMetrics,http://www.whartonwrds.com/datasets/iss/,mittel,http://dx.doi.org/10.1093/rfs/hhu145
db:ibes,Thomson Reuters I/B/E/S Estimates,IBES,http://financial.thomsonreuters.com/en/products/data-analytics/company-data/ibes-estimates.html,,http://dx.doi.org/10.1093/rfs/hhu092 ; http://dx.doi.org/10.1093/rof/rft055 ; http://dx.doi.org/10.1093/rof/rft055
db:lionshare,CCE LionShare,LionShare,www.careereducation.columbia.edu/LionSHARE,mittel,http://dx.doi.org/10.1093/rfs/hhu092
db:nyfed,Bank of New York,Bank of New York,https://www.newyorkfed.org/data-and-statistics/index.html,mittel,http://dx.doi.org/10.1093/rfs/hhu092
db:mutualfunds,Thomson Reuters Mutual Fund Holdings Database,Mutual Funds,http://funds.us.reuters.com/US/overview.asp,,http://dx.doi.org/10.1093/rof/rft055
db:tse,Taiwan Stock Exchange,TSE ; TWSE,http://www.twse.com.tw/en/,,http://dx.doi.org/10.1093/rof/rft055
db:mms,International Money Market Survey Real-Time Database,MMS,https://sdw.ecb.europa.eu/browse.do?node=4212924,gering,http://dx.doi.org/10.1093/rof/rft055
db:ftse100,FTSE 100 Index (UKX),FTSE,http://www.bloomberg.com/quote/UKX:IND,,http://dx.doi.org/10.1080/17446540701367451 ; https://mpra.ub.uni-muenchen.de/id/eprint/11292
db:sensex,BSE SENSEX,SENSEX,http://www.bloomberg.com/quote/SENSEX:IND,,https://mpra.ub.uni-muenchen.de/id/eprint/21290 ; https://mpra.ub.uni-muenchen.de/id/eprint/34737
db:shshazr,Shenzen A-Share,Shenzen,http://www.bloomberg.com/quote/SZASHR:IND,,
db:csmar,China Stock Market Accounting Research,CSMAR,http://csmar.gtadata.com/,,https://mpra.ub.uni-muenchen.de/id/eprint/35221 ; https://mpra.ub.uni-muenchen.de/id/eprint/58620 ; https://mpra.ub.uni-muenchen.de/id/eprint/31887
db:yahoofinance,Yahoo Finance,Yahoo Finance,https://in.finance.yahoo.com,mittel,https://mpra.ub.uni-muenchen.de/id/eprint/24913
db:bist100,Borsa Istanbul 100 Index,BIST100,http://www.bloomberg.com/quote/XU100:IND,,
db:gfd,Global Financial Data,GFD,https://www.globalfinancialdata.com,gering,https://ub-madoc.bib.uni-mannheim.de/39024
db:csi100,CSI 100 Index,CSI100,http://www.bloomberg.com/quote/SHCSI100:IND,,
db:nikkei225,Nikkei Index,Nikkei,http://indexes.nikkei.co.jp/en/nkave/index/profile?idx=nk225,hoch,https://mpra.ub.uni-muenchen.de/id/eprint/11292
db:eiamonthly,Monthly Energy Review,,http://www.eia.gov/totalenergy/data/monthly/,,
db:eiasteo,Short-term Energy Outlook,,http://www.eia.gov/forecasts/steo/,,
db:aim,Alternative Investment Markets,AIM,http://www.londonstockexchange.com/companies-and-advisors/aim/aim/aim.htm,mittel,http://dx.doi.org/10.1080/17446540701367451 
db:kse100,KSE 100 Index,KSE100,http://www.bloomberg.com/quote/KSE100:IND,,https://mpra.ub.uni-muenchen.de/id/eprint/34737
db:nepse,Nepal Stock Exchange,NEPSE,http://www.nepalstock.com/,hoch,https://mpra.ub.uni-muenchen.de/id/eprint/34737
db:ssecomp,Shanghai Stock Exchange Composite Index,SSE Composite ; SHCOMP,http://www.bloomberg.com/quote/SHCOMP:IND,,https://mpra.ub.uni-muenchen.de/id/eprint/34737
db:asi,Asset Substitution Index,ASI,,,
db:eurostoxx50,Eurostoxx 50,Eurostoxx ; Eurostoxx 50,http://www.bloomberg.com/quote/SX5E:IND,hoch,https://mpra.ub.uni-muenchen.de/id/eprint/11292
